,name,country,win,lost,draw,games,total_score,total_score_conceded,categorie
0,Trisha Kessler,Myanmar (Burma),4,7,0,11,18,37,2
1,Tangela Graver,Marshall Islands,8,5,0,13,37,26,1
2,Eliseo Ewald,Italy,3,2,0,5,27,16,0
3,Bernardo Dieterich,Cambodia,7,3,0,10,41,21,0
4,Maurice Wilcoxson,Marshall Islands,7,6,0,13,44,33,1
5,Orval Ramirez,Cabo Verde,11,1,0,12,68,3,0
6,Ivana Garett,Serbia,5,6,0,11,24,30,1
7,Thao Rau,Equatorial Guinea,5,10,0,15,36,53,1
8,Nubia Francisco,Ireland,4,6,0,10,29,23,2
9,Mellisa Wyse,Kiribati,5,5,0,10,28,33,2
10,Britany Zambrana,Oman,5,7,0,12,25,36,1
11,Dylan Sakamoto,China,8,6,0,14,57,34,1
12,Elliott Guion,Zambia,5,9,0,14,20,58,1
13,Merna Dykes,Andorra,4,3,0,7,26,23,0
14,Risa Uecker,Guyana,7,1,0,8,35,6,0
15,Lilli Saragosa,Sri Lanka,6,6,0,12,40,24,1
16,Orpha Locklin,Nauru,4,8,0,12,17,30,1
17,Devona Pascarella,Equatorial Guinea,5,7,0,12,27,39,1
18,Wiley Masser,Belize,4,9,0,13,24,40,1
19,Inell Guidi,Guyana,3,7,0,10,9,40,2
20,Phebe Danford,Mauritius,6,4,0,10,32,30,0
21,Cheyenne Dusenberry,Mozambique,2,5,0,7,16,30,2
22,Rafaela Malone,Botswana,9,3,0,12,51,20,0
23,Krystle Frisbie,Togo,7,3,0,10,32,23,0
24,Jacqueline Ristau,Bulgaria,8,8,0,16,43,46,1
25,Leonie Hass,Bangladesh,5,2,0,7,32,14,0
26,Coretta Noack,Guyana,5,9,0,14,24,50,1
27,Alycia Westphal,Myanmar (Burma),3,7,0,10,15,35,2
28,Argelia Charron,United Kingdom,5,1,0,6,22,5,0
29,Shaquana Mullis,Azerbaijan,7,6,0,13,28,28,1
30,Natisha Tart,Syria,2,2,0,4,6,9,2
31,Vi Murga,Malta,7,9,0,16,37,45,1
32,Bertie Backer,Turkey,5,3,0,8,34,16,0
33,Sheridan Hartson,Indonesia,3,6,0,9,16,29,2
34,Lou Romaine,Eswatini,6,2,0,8,33,13,0
35,Lenard Brickman,Dominican Republic,2,4,0,6,12,27,2
36,Agnes Bickers,Chad,4,2,0,6,18,14,0
37,Florencio Morel,Poland,3,1,0,4,20,4,0
38,Chia Clow,Guinea-Bissau,5,3,0,8,23,21,0
39,Evangelina Morganti,Spain,6,8,0,14,28,40,1
40,Sook Lewellyn,Thailand,4,3,0,7,33,11,0
41,Micheline Lupi,Tuvalu,7,5,0,12,38,30,1
42,Morgan Montgomery,Ghana,6,6,0,12,21,29,1
43,Leida Walborn,Indonesia,3,4,0,7,18,21,2
44,Catheryn Brickhouse,Myanmar (Burma),6,4,0,10,35,20,0
45,Alleen Byer,Iceland,3,8,0,11,13,37,2
46,Thea Browner,Sri Lanka,3,6,0,9,19,39,2
47,Jonelle Sipos,United States,3,6,0,9,12,32,2
48,Azalee Jacko,Trinidad and Tobago,5,5,0,10,32,29,2
49,Yen Wiese,Saint Kitts and Nevis,4,5,0,9,19,40,2
50,Brooks Mcdowell,Belarus,8,8,0,16,45,51,1
51,Kenneth Winfrey,Zimbabwe,6,6,0,12,37,22,1
52,Rosie Vanalstyne,San Marino,6,6,0,12,26,17,1
53,Maggie Slaymaker,Dominican Republic,6,6,0,12,25,23,1
54,Gregory Sandiford,Benin,2,4,0,6,14,24,2
55,Bernadette Pippen,Kyrgyzstan,5,5,0,10,32,29,2
56,Rosamond Whitmarsh,Albania,4,5,0,9,25,19,2
57,Zachary Barrie,San Marino,7,9,0,16,49,44,1
58,Hazel Lindow,Spain,2,5,0,7,8,29,2
59,Latoyia Leavitt,Barbados,4,7,0,11,23,38,2
60,Merilyn Beres,Marshall Islands,5,5,0,10,34,20,2
61,Nickie Dunkle,Spain,1,5,0,6,7,26,2
62,Corie Celestine,Equatorial Guinea,1,3,0,4,4,10,2
63,Darin Arguello,Korea, North,4,3,0,7,21,14,0
64,Daniel Almeida,Malta,1,8,0,9,1,42,2
65,Delorse Mcbean,Benin,7,5,0,12,31,26,1
66,Tabitha Strang,Mauritania,8,5,0,13,41,29,1
67,Gale Boyles,Libya,6,4,0,10,41,25,0
68,Paulene Willette,Sudan, South,9,6,0,15,45,25,1
69,Jacqulyn Stancil,Togo,5,8,0,13,19,58,1
70,Renato Christo,Guinea,6,10,0,16,41,55,1
71,Rasheeda Gundlach,Portugal,6,2,0,8,30,14,0
72,Shizue Ribera,Canada,9,6,0,15,47,30,1
73,Deanne Ulrich,Central African Republic,9,4,0,13,41,21,1
74,Irene Wisener,Colombia,4,4,0,8,27,19,2
75,Robbi Brickner,Lebanon,8,6,0,14,44,34,1
76,Reba Smyth,Kazakhstan,6,5,0,11,34,17,1
77,Kristian Welch,Malaysia,0,2,0,2,0,14,2
78,Margie Raatz,Saint Kitts and Nevis,8,3,0,11,41,15,0
79,Valery Merrit,Guyana,3,4,0,7,18,24,2
80,Kasi Musgrove,Croatia,3,9,0,12,11,44,2
81,Flossie Ortmann,India,3,5,0,8,13,25,2
82,Maragret Giraldo,Haiti,6,8,0,14,25,46,1
83,Nicolas Gadson,Togo,4,8,0,12,12,40,1
84,Eugena Montufar,Ghana,2,5,0,7,15,32,2
85,Estelle Grieves,Spain,5,5,0,10,27,27,2
86,Doloris Wineinger,Saint Kitts and Nevis,6,1,0,7,31,7,0
87,Torie Hebb,Equatorial Guinea,5,6,0,11,30,43,1
88,Maricela Caughman,Azerbaijan,7,2,0,9,42,14,0
89,Coleen Roddy,Ecuador,8,6,0,14,34,38,1
90,Kristle Ruggeri,Vatican City,7,1,0,8,40,5,0
91,Otto Ruggerio,Colombia,3,3,0,6,18,17,2
92,Quinn Maclean,The Gambia,5,8,0,13,31,46,1
93,Christena Frandsen,Vietnam,3,8,0,11,16,49,2
94,Ardelle Mahler,Haiti,8,3,0,11,43,14,0
95,Bridgette Secrist,Palau,4,4,0,8,21,18,2
96,Dara Heffron,Singapore,5,2,0,7,24,15,0
97,Kathi Ullery,Belize,5,7,0,12,30,43,1
98,Lanora Caylor,Spain,7,8,0,15,43,47,1
99,Wilhemina Claar,Sierra Leone,6,4,0,10,34,18,0
100,Randall Hubbard,Equatorial Guinea,5,5,0,10,27,28,2
101,Abel Shields,Advertisement,7,4,0,11,49,16,0
102,Trevin Perry,Serbia,6,3,0,9,32,20,0
103,Lorenzo Anderson,Ethiopia,4,9,0,13,24,37,1
104,Tabitha Bartlett,Paraguay,5,9,0,14,31,60,1
105,Cory Mullen,Poland,6,5,0,11,30,21,1
106,Yosef Carpenter,Gabon,4,4,0,8,27,18,2
107,Alanna Sherman,Saint Lucia,5,7,0,12,24,28,1
108,Mason Jordan,Kazakhstan,6,11,0,17,35,50,1
109,Trace Woodard,Thailand,12,7,0,19,64,33,1
110,Maci Owens,Lithuania,5,6,0,11,33,31,1
111,Gerardo Archer,Lithuania,4,7,0,11,26,31,2
112,Danika Price,Albania,10,5,0,15,49,21,1
113,Autumn Davidson,Namibia,7,6,0,13,27,18,1
114,Gilbert Cortez,United States,6,7,0,13,30,40,1
115,Karly Henderson,Georgia,5,6,0,11,27,29,1
116,Leandro Mason,Cabo Verde,7,2,0,9,34,9,0
117,Angel Ferrell,Senegal,7,4,0,11,32,19,0
118,Jakob Fowler,Belarus,6,6,0,12,25,25,1
119,Micah Zavala,Zambia,7,1,0,8,29,3,0
120,Troy Lindsey,Togo,5,8,0,13,36,39,1
121,Dixie Swanson,Saint Lucia,7,5,0,12,37,22,1
122,Katelynn Hodges,Chad,4,9,0,13,30,54,1
123,Amare Whitehead,Zambia,3,6,0,9,13,27,2
124,Haylie Conrad,Haiti,6,5,0,11,26,22,1
125,Marlene Calhoun,Guinea,7,3,0,10,41,14,0
126,Laila Pratt,Gabon,6,4,0,10,38,16,0
127,Mitchell Gates,Myanmar (Burma),12,6,0,18,76,28,1
128,Vivian Mckay,Iraq,3,6,0,9,24,27,2
129,Antonio Davies,Laos,8,4,0,12,43,23,0
130,Kaelyn Shepard,Indonesia,6,2,0,8,26,11,0
131,Alex Wyatt,Mongolia,7,7,0,14,46,31,1
132,Christopher Mcdowell,Paraguay,7,8,0,15,28,38,1
133,Stanley Gonzales,Jamaica,4,5,0,9,25,28,2
134,Adrianna Allison,Singapore,2,3,0,5,9,16,2
135,Carley Lam,Belgium,6,2,0,8,35,8,0
136,Kane Hill,Vietnam,7,4,0,11,28,29,0
137,Ariana Jensen,Germany,3,9,0,12,14,49,2
138,Kristian Dorsey,Luxembourg,3,4,0,7,16,22,2
139,Hassan Austin,United Arab Emirates,6,7,0,13,30,39,1
140,Kelly Hampton,Zambia,4,4,0,8,24,25,2
141,Bryanna Padilla,Suriname,3,6,0,9,13,27,2
142,Terrance Ball,South Africa,6,5,0,11,24,35,1
143,Khloe Carey,Vatican City,6,7,0,13,35,44,1
144,Miranda Romero,Laos,6,7,0,13,35,40,1
145,Uriah Mclaughlin,Papua New Guinea,7,3,0,10,40,16,0
146,Sullivan Buckley,Serbia,3,9,0,12,18,45,2
147,Sergio Wong,Fiji,5,6,0,11,25,36,1
148,Akira Moody,Armenia,4,3,0,7,24,17,0
149,Kamila Dunn,San Marino,4,4,0,8,27,21,2
150,Jade Mcpherson,Turkey,8,5,0,13,41,27,1
151,Patrick Mcmahon,Iceland,8,8,0,16,37,43,1
152,Dale Ware,Israel,2,3,0,5,12,20,2
153,Morgan Chang,Germany,4,4,0,8,25,19,2
154,Giovani Holland,Vanuatu,2,8,0,10,8,38,2
155,Nora Hawkins,Vatican City,4,5,0,9,14,29,2
156,Genesis Gray,Kiribati,8,9,0,17,46,45,1
157,Peter Haas,Ecuador,3,10,0,13,14,59,1
158,Adriel Stout,Turkey,3,5,0,8,19,28,2
159,Mckinley Clayton,Bangladesh,6,3,0,9,21,16,0
160,Molly Rowe,Nigeria,11,6,0,17,57,41,1
161,Zachery Fuentes,Venezuela,11,5,0,16,64,30,1
162,Willow Lawrence,Armenia,9,8,0,17,50,42,1
163,Jonah Mcintyre,Germany,7,7,0,14,32,43,1
164,Caroline Guzman,Liberia,4,6,0,10,17,32,2
165,Kaiya Swanson,Mali,5,4,0,9,22,31,0
166,Diya Jennings,Myanmar (Burma),2,5,0,7,9,21,2
167,Kinsley Bowman,Congo, Republic of the,5,6,0,11,18,29,1
168,Ella Oliver,Iraq,5,7,0,12,24,42,1
169,Ellis Kim,Madagascar,10,4,0,14,62,18,1
170,Timothy Lucas,Burundi,4,2,0,6,19,14,0
171,Bailey Velazquez,Bahrain,6,3,0,9,34,21,0
172,Rafael Vaughan,Norway,6,3,0,9,24,18,0
173,Sarahi Huffman,Syria,7,4,0,11,46,21,0
174,Jeremy Reeves,Oman,9,4,0,13,56,24,1
175,Jamal Barr,Vanuatu,10,3,0,13,44,14,0
176,Madison Mcbride,Egypt,2,7,0,9,14,40,2
177,Jovanni Herrera,Nepal,7,1,0,8,37,4,0
178,Chad Bailey,Mauritius,10,2,0,12,56,10,0
179,Yasmine Allen,Mali,5,6,0,11,25,40,1
180,Jamie Barton,Dominican Republic,5,6,0,11,30,27,1
181,Ernest Kerr,Guatemala,5,4,0,9,30,15,0
182,Vance Duran,Grenada,3,2,0,5,10,16,0
183,Dashawn Crosby,Sri Lanka,10,10,0,20,47,54,1
184,Yael Wright,Mexico,9,3,0,12,53,15,0
185,Brady Banks,Croatia,3,3,0,6,20,13,2
186,Kole Mcintyre,Panama,7,4,0,11,42,24,0
187,Elian Bowen,Norway,7,8,0,15,34,47,1
188,Finley Duffy,Kuwait,2,4,0,6,4,19,2
189,David Morrison,Micronesia, Federated States of,1,9,0,10,3,42,2
190,Selena Bauer,Netherlands,8,4,0,12,49,27,0
191,Valentino Bishop,Canada,3,4,0,7,16,19,2
192,Arthur Cole,New Zealand,2,5,0,7,5,24,2
193,Ciara Baldwin,Poland,10,8,0,18,67,37,1
194,Andreas Nielsen,Benin,6,3,0,9,28,13,0
195,Shania Zavala,South Africa,7,7,0,14,35,28,1
196,Neil Moyer,Denmark,3,2,0,5,15,11,0
197,Adelaide Foster,Austria,5,2,0,7,23,12,0
198,Jonathon Fields,Switzerland,8,6,0,14,46,35,1
199,Randall Melendez,Liberia,3,4,0,7,12,19,2
